,Breaks,Future of Music,SunBathe,Liz Cooper & the Stampede,Lucid Aisle,Naked Giants,Llyod and Saviour,LarsLuna,Sportscourt,The Suffers,Tispur,Teddy and the Rough Riders,Jared Mees,Illicit Nature,Blood Lemon,Moon Palace,Wild Spells,Mains and Monitors,The Undercover Dream Lovers,Dolphin Midwives,Furit & Flowers,And And,Ivy Wild,Pinky Pinky,Built to Spill,Frankie,Mertle,Swarm Beating,Billy Moon,Childspeak,Whiskey Sasquatch,Audio Moonshine,Hers,Boise,Cosmonautical,Spirit Award,K,Anna Tivel,ACUDETH,Jacq Maliq,Motherhood,Bloods,Karen Meat,Bugg,Laura Veirs,Balms,Burl Haggard,Rosie Tucker,Black Mountain,Wildermiss,1788-L,Bibi Mcill,Spooky Mansion,Ana Lete,Brooke Would,Cumulus,Bibi McGill,Why Bonnie,Bitch'n,Naked Giants,King Ropes,Lander,Styles in Black,Aan,Chame & OG,Drug Apts,Smokey Brights,Jack Burton,Whitney Ballen,Delta Mud,Ekali,Frim Fram 4,Knuckle Pups,Sparatik,Chris King & the gutterballs,Ryan Peck,Cavegreen,Mostly Muff,Madge,Vertical Scratchers,Axiom Tha Wyze,Night Beats,Auzomatik,Shadowlands,Dentist,Deuce Parks,Sheep Bridge Jumpers,Joshy Soul,Bodies on the Beach,All Star Opera,Deeveaux,The House of Aura,Video Age,good Not Great,Small Million,The Golden Fleece,Mike Krol,Ponderay,Cherry Glazerr,Sol Rising,New Move,Lee Corey Oswald,Hillstomp,Effy K,Spooky Mansion,Zee Will,Kastle,Effy K,Anemone,Juice,Deejay Fangy,Spirit Award,The Love Bunch,Lonesome Jetboat Ramblers,Jared Mees,The Brents
Bibi Mcill,0,0,0,30,0,30,0,30,0,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,30,0,0,0,30,0,30,30,30,0,30,30,30,0,30,0,0,0,0,0,30,0,30,0,30,30,30,0,0,0,30,30,30,30,30,30,0,0,30,0,0,30,30,30,0,0,0,0,0,0,0,30,0,0,30,0,30,0,30,0,0,0,30,0,0,0,0,30,30,0,0,30,0,0,0,30,30,0,30,30,30,0,0
Spooky Mansion,0,0,0,0,0,30,0,0,0,0,30,0,0,30,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,30,30,0,0,0,30,30,30,30,0,0,0,0,0,30,0,30,0,0,0,0,0,0,30,30,30,30,30,30,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,30,0,30,0,0,0,0,0,0,0,0,0,30,0,30,30,30,0,0,0,30,30,0,0,0,0,30,30,0,0,0,30,0,0,0,0,30,30,0,0
Ana Lete,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,30,30,0,30,0,30,0,30,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,30,0,0,30,0,30,0,0,0,0,0,0,30,0,30,0,0,0,0,30,0,0,0,0,30,0,0,0,0,30,30,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Brooke Would,0,0,0,0,0,0,30,30,0,30,0,30,0,0,0,0,30,0,0,30,0,0,0,0,0,0,30,30,30,30,30,30,0,30,0,0,0,0,0,30,30,0,0,0,0,0,30,0,0,0,30,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,30,30,30,0,30,0,0,30,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,30,30,0,0,0,30,0,0,30,0,30,30,0,0,0,30
Cumulus,30,0,0,0,0,0,0,0,30,0,0,30,0,30,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,30,30,30,0,0,30,0,0,0,0,0,0,30,30,0,30,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,30,0,0,0,0,30,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0
Bibi McGill,0,0,30,30,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,30,30,0,30,0,30,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,30,0,30,30,30,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,30,0,0,0,0,30
Why Bonnie,0,0,0,0,0,0,30,0,0,0,30,0,0,0,30,30,0,0,30,30,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,0,0,0,0,30,0,30,0,30,0,0,30,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,30,0,30,0,0,30,0,0,0,0,0,0,30,0,0,0,0,30,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0
Bitch'n,30,30,0,0,0,0,30,30,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,30,30,30,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,30,0,0,30,0,0,30,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,30,0,30,0,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,30,0,30,0,0,0,0,0,30,0,0,0,0
Naked Giants,0,0,0,0,0,0,0,0,0,30,0,30,30,0,0,30,0,0,0,0,0,0,30,0,0,0,30,30,30,0,30,0,0,0,0,30,0,0,0,0,0,30,30,30,0,0,30,0,0,0,0,0,0,0,30,0,30,0,0,0,0,30,0,0,0,0,30,30,30,0,0,0,0,30,30,0,30,0,30,0,30,0,0,30,30,0,30,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,30,0,0
King Ropes,30,0,0,30,0,0,0,30,0,0,0,0,30,30,30,30,30,30,0,0,0,0,30,0,0,0,0,30,0,0,30,0,0,0,30,30,0,30,0,0,0,0,0,0,0,0,30,30,0,0,30,0,0,0,30,0,30,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,30,30,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,30,0,30,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
Lander,0,0,0,0,30,30,0,0,30,0,30,30,0,0,0,30,0,0,0,0,0,30,30,0,30,0,30,30,30,30,0,0,0,0,0,0,0,0,0,30,0,30,0,30,0,0,0,0,30,0,0,0,30,0,30,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,30,30,30,0,0,0,0,30,0,0,30,30,0,0,0,0,0,0,30,0,30,0,30,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,30,0,30,30,0,0,30,30
Styles in Black,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,30,0,30,0,30,0,0,0,0,0,0,0,0,30,0,30,0,30,30,30,0,0,0,0,0,30,0,30,30,0,0,0,30,0,30,0,0,0,30,0,30,30,30,0,0,0,0,30,0,0,0,30,30,0,30,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,30,30,30,0,0,0,0,0,0
Aan,0,30,0,0,30,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,30,0,30,0,0,30,0,30,0,30,0,0,0,30,0,0,0,0,0,30,0,0,0,30,0,0,0,0,30,0,0,0,0,0,30,0,30,0,0,30,0,30,0,0,30,0,0,0,0,0,30,30,30,0,0,0,0,0,0,0,30,30,0,0,30,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,30,0,0,30,30,0,0,0,0,0,30,0
Chame & OG,30,0,0,0,0,0,0,30,0,30,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,30,0,0,30,0,0,0,30,0,0,30,0,30,30,30,0,0,0,0,30,0,30,30,0,0,0,30,0,0,0,0,0,30,0,0,0,0,30,0,0,0,30,30,30,0,0,0,0,30,0,0,0,0,0,30,30,0,30,0,0,0,0,0,0,0,0,0,30,0,30,30,30,0,0,30,0,30,0,30,0,0,0,0,0,0,30,0,30,0,0,0
Drug Apts,0,30,0,0,0,0,30,0,0,30,30,0,0,30,0,0,0,30,30,0,30,0,0,0,0,0,0,0,0,30,30,0,0,30,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,30,0,30,0,30,0,30,0,0,0,30,30,0,0,0,30,0,0,30,0,0,30,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,30,30,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0
Smokey Brights,30,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,30,30,0,30,0,0,30,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,30,0,30,0,0,30,30,0,0,0,0,30,0,0,0,30,0,0,30,0,0,30,30,30,30,0,0,0,0,0,0,30,0,0,0,0,0,30,30,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0
Jack Burton,0,0,30,0,30,0,0,30,30,30,0,30,0,0,0,0,30,0,30,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,30,30,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,30,30,30,30,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,30,30,0,30,30,30
Whitney Ballen,30,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,30,0,30,0,0,30,0,0,30,0,0,0,0,0,30,0,30,0,0,30,0,0,0,30,0,0,0,0,30,30,0,0,0,0,0,30,0,0,0,30,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,30,0,0,0,30,0,0,0,0,30,0,30,30,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,30,0,0,0,30,0,0,30,0
Delta Mud,0,30,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,30,30,0,0,30,30,0,0,0,0,30,30,30,0,30,30,0,30,0,0,0,0,0,30,0,0,30,0,0,0,30,0,0,0,0,30,30,30,30,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,0,0,0,0,0,30,0,0,0
Ekali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,30,30,0,0,0,0,0,0,30,0,0,0,0,30,0,30,0,0,30,0,0,30,30,0,0,0,0,0,0,0,0,0,30,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,0,30,0,30,0,0,0,0,0,30,0,30,0,0,30,0,0,30,30,30,0,30,0,30,0,0,30,0,30,30
Frim Fram 4,30,0,30,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,30,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,30,0,30,0,0,0,30,0,0,30,0,30,0,0,0,30,0,0,0,0,30,0,0,30,0,0,0,30,0,0,0,0,0,30,30,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,30,0,0,30,30,0,0,0,30,30,0,0,30,30,0
Knuckle Pups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,30,0,30,0,30,0,30,0,30,30,0,30,0,0,0,0,30,30,0,30,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,30,0,0,30,0,30,0,0,0,0,0,0,0,0,30,0,0,0,30,30,0,30,0,30,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,30,0,30,30,30,0,0,0
Sparatik,30,0,0,30,30,30,30,0,0,0,30,30,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,0,0,0,0,30,0,30,0,30,0,0,30,0,0,0,0,30,0,0,30,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,30,0,30,30,0,0,0,0,0,0,30,30,30,0,30,30,0,0,0,0,0,30,0,30,30,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0
Chris King & the gutterballs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,30,0,30,0,0,30,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,30,0,0,0,0,30,30,0,30,0,0,0,0,30,0,0,0,0,30,0,30,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,30,0
Ryan Peck,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,30,0,30,0,30,30,0,0,0,0,0,30,0,0,0,30,30,0,0,0,30,0,0,0,0,30,30,0,0,30,30,30,0,0,0,0,30,0,0,0,0,0,0,0,30,0,30,0,30,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Cavegreen,0,0,0,0,0,0,0,30,0,30,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,30,0,0,0,0,30,30,30,0,30,30,0,30,0,30,0,0,0,0,30,0,0,30,0,0,0,0,0,30,30,0,0,0,0,0,30,0,0,0,0,30,0,30,30,30,30,0,30,0,0,0,0,30,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
Mostly Muff,0,30,0,0,30,0,0,0,30,0,0,0,30,0,0,0,30,0,0,0,0,0,0,30,0,0,30,0,0,0,30,0,0,0,30,30,0,30,0,30,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,30,30,30,0,0,0,30,0,0,0,0,0,0,0,30,30,0,30,0,0,30,0,0,0,0,0,0
Madge,30,30,0,0,0,0,0,0,0,0,30,0,30,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,30,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,30,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,30,0,30,0,0,0,30,0,0,0,30,0,0,0,0,0
Vertical Scratchers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,30,30,30,30,0,30,0,0,0,0,0,30,0,30,0,0,30,0,0,0,0,0,0,0,30,30,0,0,30,0,0,0,0,0,30,0,0,30,30,30,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,30,0,0,30,0,0,0,0,0,0,0,0,30,30,0,0,0,30,0,0,30,0,0
Axiom Tha Wyze,0,30,0,30,0,30,30,0,0,30,30,0,0,0,30,30,30,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,30,30,0,30,0,0,0,0,0,0,30,0,0,30,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0
Night Beats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,30,0,30,30,30,0,0,0,0,30,0,30,30,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,30,0,0,0,30,0,30,0,30,30,0,30,30,0,0,0,0,30,30,0,0,0,30,0,0,0,30,0,0,0,0,0,30,0,30,0,0,30,0,0,0,30,0,0,30,30,0,0,0,0,0,0,30,0,0,30,30,0,0,30,30,30,0,0
Auzomatik,0,0,0,0,0,30,0,0,0,0,30,0,30,30,0,0,0,0,0,0,0,30,0,0,0,30,30,30,0,0,0,0,30,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,30,30,0,0,30,0,30,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,30,0,0,0,30,0,0,0,0,0,30,0,0,0,0,30,30,0,0,0,0,0,0,0,30,0,0,30
Shadowlands,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,30,0,0,30,0,0,30,0,0,0,0,0,0,30,0,0,30,30,30,0,30,0,0,30,30,0,0,0,0,0,30,30,0,0,0,30,0,0,30,0,30,30,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,30,30,0,0,0,0,0,0,30,0,0,0,30,0,0,0,30,30,0,0,30,30,30,0,0,0,0,0
Dentist,0,30,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,30,30,30,30,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,30,30,30,30,30,0,0,0,30,30,0,0,0,30,30,30,0,0,0,0,0,0,30,30,0,0,30,30,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,30,30,0,0,0,0,0,30,0,0,30,0,0,30,0,0,0,0,0,0,0,0,30
Deuce Parks,0,0,0,30,0,0,30,0,0,0,0,0,0,0,30,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,30,30,0,30,0,0,30,30,0,0,0,0,0,30,0,0,0,0,30,30,0,0,0,0,0,0,30,0,0,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0
Sheep Bridge Jumpers,0,30,0,30,0,30,30,0,0,0,30,0,30,0,0,0,0,30,0,30,30,0,30,0,0,0,0,0,0,0,0,0,0,30,30,0,0,30,0,0,0,0,0,0,30,30,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,30,0,30,0,0,30,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,30,0,0,0,30,30,0,0,0,0,30,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,30,0,30,30,0,0,0
Joshy Soul,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,30,30,0,0,0,0,0,0,0,30,30,0,0,30,30,0,30,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,30,0,0,0,30,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0
Bodies on the Beach,30,0,0,30,0,0,30,0,0,0,30,30,0,30,0,30,0,0,0,0,30,0,0,0,0,0,30,0,0,30,0,30,30,0,0,30,0,0,0,0,0,30,0,0,30,0,0,30,30,0,0,0,0,30,0,0,0,0,30,0,0,0,30,0,0,30,0,0,0,0,30,30,0,30,0,30,0,0,0,0,30,0,30,30,0,0,30,0,0,0,0,0,0,30,30,0,0,0,0,30,0,0,30,0,0,0,30,0,0,30,30,0,30,0,0,30
All Star Opera,0,0,30,0,0,0,0,30,30,30,0,0,0,0,0,30,30,0,0,0,30,0,0,30,0,0,30,0,0,0,30,0,0,30,30,0,30,0,30,0,0,0,0,30,0,0,0,0,0,30,30,0,30,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,30,30,30,0,0,30,0,0,0,0,0,0,30,0,0,30,30,0,30,0,0,0,0,30,30,0,0,0,0,0,30,30,30,0,0,30,30,30,30,30,0,0,0,0,30,30
Deeveaux,0,0,30,0,0,0,0,30,0,0,0,30,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,30,0,0,0,0,0,0,30,30,0,30,0,0,30,0,30,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,30,0,0,0,30,0,0,30,30,0,30,0,0,0,0,0,30,0,30,0,30,30,30,0,0,0,30,0,30,0,30,0,30,30,30,0,0,0
The House of Aura,30,0,0,0,30,0,0,30,0,30,0,0,0,30,0,0,30,30,30,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,30,0,0,0,0,30,0,30,0,30,0,0,30,30,0,30,0,30,30,0,0,0,0,0,0,0,0,0,30,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,30,0,30,30,0,0,0,0,0,0,0,30,0,0,0,0,0
Video Age,30,0,0,0,0,0,30,30,30,0,30,0,30,0,30,0,0,0,0,0,0,30,30,0,0,30,0,30,30,0,0,0,0,30,0,0,30,30,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,30,30,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,0,0,0,30,30,0,0,0,0,0,30,0,0,30,0,30,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,30
good Not Great,30,30,0,0,0,30,0,30,0,0,30,30,0,0,0,30,30,0,0,0,0,30,30,0,30,0,0,30,0,30,0,30,30,0,0,0,0,30,0,0,0,30,30,30,0,30,0,0,30,30,30,0,30,0,30,30,30,30,30,0,0,0,30,30,0,0,0,0,0,30,0,30,0,0,0,0,30,30,0,30,0,0,0,0,30,30,30,0,0,30,0,30,30,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,30,30,0,0,0,0,0,0
Small Million,0,30,30,0,30,0,0,30,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,30,0,30,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,30,30,0,0,0
The Golden Fleece,0,0,30,0,0,0,0,0,0,0,0,0,30,30,0,0,0,30,0,30,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,30,30,0,0,30,30,0,30,0,0,0,0,30,30,0,30,0,30,0,0,30,30,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,30
Mike Krol,0,0,30,0,0,0,0,0,0,0,30,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,30,0,0,0,0,30,0,30,0,0,0,30,30,0,30,0,30,0,0,0,30,0,0,30,0,30,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,30,0,0,0,30,30
Ponderay,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,30,0,30,0,0,30,0,30,30,0,0,30,0,0,0,0,0,0,0,30,0,30,0,0,0,30,0,0,0,30,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,30,0,0,30,30,0,0,30,0,0,30,0,0,0,0,0,0,30,30,0,0,0,30,0,0,0,0,0,30,0
Cherry Glazerr,30,0,0,30,30,30,0,0,0,0,0,0,30,30,0,0,0,30,0,0,0,0,30,30,30,0,0,0,0,30,30,30,0,0,0,0,0,0,0,30,30,30,0,0,30,30,0,30,0,0,30,30,0,0,0,0,0,0,30,0,0,0,30,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,30,0,30,0,0,30,0,30,30,30,0,0,30
Sol Rising,0,0,0,0,0,0,30,0,0,30,0,30,0,0,0,0,0,30,30,0,30,0,0,0,0,0,30,30,0,0,30,0,0,0,0,0,0,0,30,0,30,0,0,0,30,0,0,0,0,30,0,0,30,0,0,0,30,30,0,0,0,0,0,0,30,0,30,30,0,0,0,30,0,30,0,0,0,30,0,0,0,0,30,0,0,30,0,0,0,0,30,0,0,30,0,30,0,30,0,0,0,30,0,0,0,30,0,30,0,0,30,0,0,30,0,0
New Move,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,30,0,30,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,30,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,30,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,30,30,30,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0
Lee Corey Oswald,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,30,30,0,0,30,0,0,0,0,30,0,0,0,0,0,0,30,30,0,30,0,0,0,0,30,0,0,0,0,0,0,0,30,30,30,0,0,0,30,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,30,0,0,30,0,0,0,0,0,30,0,30,30,0,0,0,0,30,0,30,0,30,0,30,0,0,30,0,30,0,30
Hillstomp,0,0,0,0,0,30,0,0,30,30,0,0,0,30,0,0,0,0,0,0,30,0,30,30,30,0,30,0,0,30,0,0,0,30,30,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,30,0,0,30,30,0,30,30,0,0,0,30,30,30,0,0,30,30,0,30,30,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,30,0,30,0,30,0,0,0,0,0,30,30,0,0,0,30,0,0,0,30,0,30
Effy K,0,0,30,0,0,0,0,30,0,0,0,0,30,0,0,0,30,30,0,0,0,0,0,30,0,0,0,0,0,0,30,30,0,0,0,0,0,30,0,30,30,30,0,0,0,0,30,30,0,30,30,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,30,0,30,30,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,30,30,0,0,0,30,30,0,0,30,0,0,0,0,0,0,30,0,30,0,0
Spooky Mansion,30,0,0,0,0,0,0,30,30,30,0,30,0,0,30,0,0,0,0,30,30,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,30,30,0,0,0,0,0,0,0,0,30,0,30,0,0,0,30,0,0,0,0,0,0,30,0,0,0,30,0,30,30,0,0,0,0,30,0,0,0,0,0,0,30,0,0,30,30,0,0,30,0,30,0,0,30,0,0,30,0,0,0,30,0,0,0,0,30,30,0,30,0,30,30,0,0,30,30,0,0,30
